persona	n_turns	Füllwörter_pro100w	Höflichkeit_pro100w	Turnlänge_avg	Begründung_pro100w	Slang_pro100w	Empathie_pro100w	Enthusiasmus_pro_turn	Initiative_fragen_pro_turn	CTA_pro100w
calm-authority	13.5	4.98	1.54	18.27	0.0	0.0	0.0	0.0	0.51	0.62
charming-challenger	9.75	5.56	1.14	27.36	0.19	0.13	0.0	0.0	0.63	0.33
direct-doer	12.0	4.97	1.57	18.03	0.25	0.0	0.0	0.0	0.62	0.83
easy-expert	13.25	5.91	1.82	27.1	0.5	0.0	0.0	0.01	0.64	0.29
gentle_guide	11.0	4.99	2.3	23.71	0.38	0.0	0.22	0.0	0.57	0.0
